Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-12,1303,1304,66987.756,67157.0,-2030.9280000000726,-0.002526491557651278,2024-03-25 07:45:00,2024-03-25 08:00:00,0 days 00:15:00
-12,1305,1307,66884.962,67233.0,-4176.456000000006,-0.005203531400675754,2024-03-25 08:15:00,2024-03-25 08:45:00,0 days 00:30:00
12,1308,1369,68230.188,70600.0,28437.744000000064,0.03473260252485311,2024-03-25 09:00:00,2024-03-26 00:15:00,0 days 15:15:00
-12,1370,1374,70265.188,70421.0,-1869.7440000000643,-0.0022174849941341,2024-03-26 00:30:00,2024-03-26 01:30:00,0 days 01:00:00
12,1375,1380,70576.872,70537.0,-478.4640000000363,-0.0005649442780633063,2024-03-26 01:45:00,2024-03-26 03:00:00,0 days 01:15:00
12,1381,1382,70803.324,70611.0,-2307.887999999919,-0.002716313149365601,2024-03-26 03:15:00,2024-03-26 03:30:00,0 days 00:15:00
12,1383,1395,70903.524,70705.0,-2382.2880000000587,-0.002799917250939532,2024-03-26 03:45:00,2024-03-26 06:45:00,0 days 03:00:00
12,1396,1403,70903.524,70595.0,-3702.2880000000587,-0.004351321099357541,2024-03-26 07:00:00,2024-03-26 08:45:00,0 days 01:45:00
-12,1404,1440,70288.142,70369.0,-970.2959999999148,-0.001150378964349219,2024-03-26 09:00:00,2024-03-26 18:00:00,0 days 09:00:00
12,1441,1442,70492.704,70216.0,-3320.447999999975,-0.003925285657931377,2024-03-26 18:15:00,2024-03-26 18:30:00,0 days 00:15:00
-12,1443,1447,69957.804,70540.0,-6986.351999999955,-0.008322102277538601,2024-03-26 18:45:00,2024-03-26 19:45:00,0 days 01:00:00
12,1448,1453,70876.47,70286.0,-7085.640000000014,-0.008330973593916324,2024-03-26 20:00:00,2024-03-26 21:15:00,0 days 01:15:00
12,1454,1464,70629.978,70288.0,-4103.7360000000335,-0.004841825095853847,2024-03-26 21:30:00,2024-03-27 00:00:00,0 days 02:30:00
12,1465,1470,70574.868,70461.0,-1366.4160000000265,-0.0016134355362875663,2024-03-27 00:15:00,2024-03-27 01:30:00,0 days 01:15:00
-12,1471,1484,70238.242,70127.0,1334.9039999999804,0.0015837810974824729,2024-03-27 01:45:00,2024-03-27 05:00:00,0 days 03:15:00
12,1485,1495,70242.204,70101.0,-1694.4479999999749,-0.0020102444393685914,2024-03-27 05:15:00,2024-03-27 07:45:00,0 days 02:30:00
12,1496,1500,70407.534,70020.0,-4650.407999999996,-0.005504155279746015,2024-03-27 08:00:00,2024-03-27 09:00:00,0 days 01:00:00
-12,1501,1542,69162.398,69911.0,-8983.223999999987,-0.010823829445589794,2024-03-27 09:15:00,2024-03-27 19:30:00,0 days 10:15:00
-12,1543,1544,69540.64,69796.0,-3064.320000000007,-0.0036720973519943634,2024-03-27 19:45:00,2024-03-27 20:00:00,0 days 00:15:00
-12,1545,1560,69565.59,69761.0,-2344.920000000042,-0.00280900370427406,2024-03-27 20:15:00,2024-03-28 00:00:00,0 days 03:45:00
-12,1561,1562,69558.604,69862.0,-3640.7519999999204,-0.004361732158971954,2024-03-28 00:15:00,2024-03-28 00:30:00,0 days 00:15:00
11,1563,1564,69954.63,69760.0,-2140.930000000051,-0.0027822318551324887,2024-03-28 00:45:00,2024-03-28 01:00:00,0 days 00:15:00
11,1565,1608,70163.046,70771.0,6687.493999999977,0.008664874669209732,2024-03-28 01:15:00,2024-03-28 12:00:00,0 days 10:45:00
-11,1609,1612,70542.632,70901.0,-3942.0480000000243,-0.00508016202174022,2024-03-28 12:15:00,2024-03-28 13:00:00,0 days 00:45:00
11,1613,1616,71167.05,70656.0,-5621.550000000032,-0.007180991765149747,2024-03-28 13:15:00,2024-03-28 14:00:00,0 days 00:45:00
11,1617,1618,70969.656,70784.0,-2042.2160000000295,-0.002615991262519324,2024-03-28 14:15:00,2024-03-28 14:30:00,0 days 00:15:00
11,1619,1621,71094.906,70754.0,-3749.9660000000295,-0.004795083349572238,2024-03-28 14:45:00,2024-03-28 15:15:00,0 days 00:30:00
-11,1622,1623,70572.572,70859.0,-3150.7079999999987,-0.00405863059660061,2024-03-28 15:30:00,2024-03-28 15:45:00,0 days 00:15:00
-11,1624,1625,70608.5,70892.0,-3118.5,-0.004015097332474182,2024-03-28 16:00:00,2024-03-28 16:15:00,0 days 00:15:00
11,1626,1629,71109.936,70792.0,-3497.2960000000166,-0.0044710488840827844,2024-03-28 16:30:00,2024-03-28 17:15:00,0 days 00:45:00
11,1630,1637,71065.848,70808.0,-2836.3279999999795,-0.0036282969563664613,2024-03-28 17:30:00,2024-03-28 19:15:00,0 days 01:45:00
-11,1638,1640,70669.378,70833.0,-1799.8420000000333,-0.0023153168264762325,2024-03-28 19:30:00,2024-03-28 20:00:00,0 days 00:30:00
11,1641,1646,71041.8,70742.0,-3297.800000000032,-0.004220050730696645,2024-03-28 20:15:00,2024-03-28 21:30:00,0 days 01:15:00
-11,1647,1657,70597.522,70533.0,709.7419999999693,0.0009139414270092905,2024-03-28 21:45:00,2024-03-29 00:15:00,0 days 02:30:00
-11,1658,1661,70277.164,70395.0,-1296.1959999999526,-0.0016767324304662878,2024-03-29 00:30:00,2024-03-29 01:15:00,0 days 00:45:00
11,1662,1666,70546.812,70356.0,-2098.932000000059,-0.0027047572326869274,2024-03-29 01:30:00,2024-03-29 02:30:00,0 days 01:00:00
